Question,ExpectedAnswer
How many users had their first losing options trade this week?,"SELECT COUNT(DISTINCT user_id) FROM options_trades WHERE is_first_loss = TRUE AND close_date >= DATE_TRUNC('week', CURRENT_DATE) AND close_date < DATE_TRUNC('week', CURRENT_DATE) + INTERVAL '7 days'"
What is the Day-30 retention rate for users who had their first losing trade last month?,"SELECT ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_rate_pct FROM interventions WHERE cohort_week >= DATE_TRUNC('month', CURRENT_DATE - INTERVAL '1 month') AND cohort_week < DATE_TRUNC('month', CURRENT_DATE)"
What is the Day-30 retention rate for users whose first loss was greater than 50% of their premium?,"SELECT ROUND(100.0 * SUM(CASE WHEN i.day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_rate_pct FROM interventions i JOIN options_trades t ON i.user_id = t.user_id AND t.is_first_loss = TRUE WHERE t.pnl_pct < -50"
Compare Day-30 retention across loss magnitude buckets: small (<20%), medium (20-50%), large (>50%),"SELECT CASE WHEN t.pnl_pct BETWEEN -20 AND 0 THEN 'Small (<20%)' WHEN t.pnl_pct BETWEEN -50 AND -20 THEN 'Medium (20-50%)' ELSE 'Large (>50%)' END AS loss_bucket, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN i.day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions i JOIN options_trades t ON i.user_id = t.user_id AND t.is_first_loss = TRUE GROUP BY 1 ORDER BY 1"
Which intervention message framing has the highest Day-30 retention rate?,"SELECT message_framing, COUNT(*) AS cohort_size, ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions GROUP BY message_framing ORDER BY retention_pct DESC"
Does sending the intervention immediately vs next morning make a difference to retention?,"SELECT intervention_type, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions WHERE intervention_type IN ('IMMEDIATE', 'NEXT_MORNING') GROUP BY intervention_type"
Which feature suggestion in the post-loss message leads to the best retention?,"SELECT feature_suggested, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions GROUP BY feature_suggested ORDER BY retention_pct DESC"
Does showing a cooling-off prompt improve or hurt Day-30 retention?,"SELECT cooling_off_shown, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions GROUP BY cooling_off_shown"
What percentage of users who opened the intervention notification went on to trade again within 30 days?,"SELECT ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions WHERE opened_at IS NOT NULL"
What percentage of users who did NOT open the intervention notification traded again within 30 days?,"SELECT ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions WHERE opened_at IS NULL"
What is the average number of days between a user's first loss and their next trade?,"SELECT ROUND(AVG(DATEDIFF(next_trade_date, DATE(sent_at))), 1) AS avg_days_to_next_trade FROM interventions WHERE next_trade_date IS NOT NULL"
